"17-AAG","AEW541","AZD0530","AZD6244","Erlotinib","Irinotecan","L-685458","LBW242","Lapatinib","Nilotinib","Nutlin-3","PD-0325901","PD-0332991","PF2341066","PHA-665752","PLX4720","Paclitaxel","Panobinostat","RAF265","Sorafenib","TAE684","TKI258","Topotecan","ZD-6474"
3.5,2.0875,1.8817,1.2348,1.7747,NA,NA,1.1054,1.4973,NA,0.6988,2.2204,NA,1.1889,1.5377,0.5977,4.9761,4.1571,NA,0.6577,2.8724,1.5021,1.9431,2.5282
4.0906,0.9409,1.5346,2.3452,2.316,NA,0,0.3061,1.8794,NA,0,2.6201,0,0.5558,0.7764,0,7.1184,4.4571,1.0867,0.3294,0.5994,0.5781,3.8619,3.4375
4.3291,1.2703,0.6972,0.149,0.6947,2.9043,0.7571,0.7028,0.4327,0.5266,0.0222,0.1878,0.1654,0.8664,0.3361,0.359,5.5828,4.6055,1.7244,0.301,1.4006,1.7102,3.1338,0.305
3.6877,1.3703,1.7728,1.7048,2.0234,2.8611,0.09294,1.9431,1.9052,0.07419,0.1528,2.3533,0.2048,0.2923,0.04997,0.2709,5.3918,4.751,2.3477,0.04859,0.9655,0.322,2.4477,1.7151
3.3698,0.1548,0.2008,1.6146,0.04256,1.8093,0.01624,0.06953,0.3518,0.1917,0.3751,2.1985,0.04588,0.08662,0.195,0,4.1905,3.5222,1.5971,0.05791,0.8478,0.6033,1.9735,0.3933
2.0534,0.561,2.3703,2.3689,1.1767,NA,0.4371,0.5201,2.6066,0.4743,0.4135,1.8058,0.3678,0.4668,0.1975,0.003985,3.2082,4.5124,0.8645,0.5152,1.1636,0.4078,3.0826,1.8192
3.0328,1.511,1.5736,1.5986,0.4963,NA,NA,1.0712,0.1923,NA,0.106,3.2483,NA,0.7092,0.4372,1.0378,6.5055,4.0829,NA,0.8441,2.1373,0.79,3.0781,0.7187
3.1786,0.4276,0.1606,0.06316,0.003827,3.1566,0.5617,0.7152,0.146,0.4371,0.07149,0.238,0.2178,0.1829,0.3651,0.07136,4.3906,5.0138,0.8191,0.1544,0.1146,0.494,1.0891,0.3685
3.905,1.657,1.7225,1.5237,0.399,1.5901,0,0.3136,0.6047,0.7497,0.7347,3.115,0.3713,1.1095,0.1632,0.3741,3.4066,3.4812,0.8736,0,2.4551,0.2457,1.2993,1.9235
2.1995,0.6584,0.6927,0.103,0.08698,2.2248,0.01432,0.07697,0.02975,0.207,0.01784,0.586,0.1407,0.6175,0,0.06697,4.0347,3.6763,0.7917,0.06255,1.0183,0.3645,1.728,0.2382
3.4189,0.7503,1.8014,2.0146,1.8156,NA,0,0.7254,2.3087,NA,0.5473,2.5956,NA,0.3273,0.7094,0.2626,3.4061,4.7212,0.7362,0.1157,1.8427,0.6354,2.4283,2.3861
5.2114,2.0767,2.3748,5.5723,0.4165,NA,0.7484,2.0844,0.4609,NA,1.1585,5.6249,NA,1.0766,0.86,0.3921,5.9257,5.65,1.0626,0.5689,2.3225,0.6549,3.3596,1.6859
3.8812,0.6551,0.6352,0.5656,0.4621,4.4997,0.02719,0.06319,0.07477,0.2173,0.7237,0.6039,1.0214,0.8737,0.8997,0.1793,6.7624,4.9845,1.6558,0.3438,1.1676,1.0475,4.9059,2.3858
4.4923,1.3266,0.8254,4.1926,0.1882,NA,0,0.966,0.1412,0.8895,0.2836,5.7584,1.4388,0.7973,0.2519,2.6493,5.1776,5.0094,2.4944,0.8047,2.0928,0.7751,3.1666,0.3262
2.8034,2.0584,0.4243,0.02962,0.6266,2.9318,0.1274,0.1362,0.5138,0.8088,0.0876,0.01305,0.846,0.7197,0.2699,0.2642,3.9828,4.3094,2.8689,0.7374,2.7318,1.1074,2.5752,0.8505
4.2419,1.0687,0.8386,1.8733,1.1618,1.9174,0.4075,0.5952,1.1779,0.2982,0.827,3.1372,0.4865,0.4238,0.2274,0.4074,2.7143,3.3188,1.3644,0.8591,1.4769,0.6609,1.8377,1.8722
3.984,0.9348,0.1354,3.3142,0.4867,2.1461,0.3375,0.1373,0,0.5391,0.6993,4.7338,0.4765,0.4152,0.486,2.2166,4.5201,4.6206,2.4244,0.4606,0.853,0.6854,2.2206,0.311
3.2321,1.4813,0.4347,2.4876,0.9611,NA,0.8445,2.4895,0.3423,NA,0.8776,2.757,NA,0.5903,0.7811,1.3751,5.4766,3.9221,NA,0.2976,1.3744,1.2564,3.1862,0.7398
